Symbol,Side,SL,TP,Open Time,Open Price,Close Time,Close Price,PnL,Lots,Gain,Day of the week,Session,RR Ratio,Pips,Hour_Decimal,Losing_Streak,Equity_Curve,Equity_Curve_Delayed,Drawdown_State,Lot_Deviation,Prev_Close_Time,Revenge_Timer,Is_High_Risk,Real_Equity,Shadow_Equity
GBPUSD,SELL,1.26414,1.26085,2025-01-03 13:27:00,1.26384,2025-01-03 13:27:00,1.26384,-38.0,1.0,-0.45,Wednesday,NY,0.0,-3.0,13.45,1,103301.0,103339.0,1.9554079696394686,-2.8377159087807518,2025-01-03 12:27:00,60.0,0,103301.0,104761.0
GBPUSD,SELL,1.27244,1.26565,2025-01-04 10:39:00,1.27214,2025-01-04 10:39:00,1.27214,161.0,1.0,1.54,Thursday,LND,5.37,16.1,10.65,2,103462.0,103301.0,1.9914611005692597,-2.3202011407059806,2025-01-03 13:27:00,1272.0,0,103462.0,104922.0
GBPUSD,BUY,1.26994,1.27324,2025-01-04 11:35:00,1.27026,2025-01-04 11:35:00,1.27026,-20.0,1.0,-0.27,Thursday,LND,0.0,-2.0,11.583333333333334,0,103442.0,103462.0,1.8387096774193548,-1.9493588689617927,2025-01-04 10:39:00,56.0,0,103442.0,104902.0
GBPUSD,BUY,1.26994,1.27324,2025-01-04 11:35:00,1.27025,2025-01-04 11:35:00,1.27025,-26.0,1.0,-0.33,Thursday,LND,0.0,-2.6,11.583333333333334,1,103416.0,103442.0,1.857685009487666,-1.688194301613413,2025-01-04 11:35:00,0.0,1,103416.0,104902.0
GBPUSD,SELL,1.27116,1.26768,2025-01-08 13:12:00,1.27069,2025-01-08 13:13:00,1.27069,-47.0,1.0,-0.54,Monday,NY,0.0,-4.7,13.2,2,103369.0,103416.0,1.8823529411764703,-1.4888474289418197,2025-01-04 11:35:00,5857.0,0,103369.0,104855.0
GBPUSD,BUY,1.23339,1.23518,2025-01-08 13:36:00,1.23369,2025-01-08 13:36:00,1.23339,-600.0,20.0,-0.74,Wednesday,New York,0.0,-3.0,13.6,3,102769.0,103369.0,1.9269449715370017,0.7152191702817127,2025-01-08 13:13:00,23.0,1,102769.0,104855.0
GBPUSD,SELL,1.23387,1.23199,2025-01-08 13:44:00,1.23353,2025-01-08 13:44:00,1.23387,-680.0,20.0,-0.82,Wednesday,New York,0.0,-3.4,13.733333333333333,4,102089.0,102769.0,2.4962049335863377,0.7152191702817127,2025-01-08 13:36:00,8.0,1,102089.0,104855.0
GBPUSD,SELL,1.27243,1.26913,2025-01-09 14:22:00,1.27213,2025-01-09 14:23:00,1.27213,-47.0,1.0,-0.54,Tuesday,NY,0.0,-4.7,14.366666666666667,5,102042.0,102089.0,3.141366223908918,-1.3282641733803233,2025-01-08 13:44:00,1478.0,1,102042.0,104855.0
GBPUSD,SELL,1.22901,1.22778,2025-01-10 08:12:00,1.22858,2025-01-10 08:12:00,1.22901,-840.0,20.0,-0.9,Friday,London,8.47,4.3,8.2,6,101202.0,102042.0,3.18595825426945,0.7958224257542215,2025-01-09 14:23:00,1069.0,1,101202.0,104015.0
GBPUSD,SELL,1.22923,1.22777,2025-01-10 08:16:00,1.22893,2025-01-10 08:16:00,1.22923,-700.0,20.0,-0.76,Friday,London,11.14,3.0,8.266666666666667,7,100502.0,101202.0,3.9829222011385195,0.7958224257542215,2025-01-10 08:12:00,4.0,1,100502.0,104015.0
GBPUSD,SELL,1.27302,1.27024,2025-01-10 12:00:00,1.27272,2025-01-10 12:01:00,1.27272,-28.0,1.0,-0.35,Wednesday,LND,0.0,-2.8,12.0,8,100474.0,100502.0,4.647058823529412,-1.1937336386313322,2025-01-10 08:16:00,224.0,1,100474.0,104015.0
GBPUSD,SELL,1.27289,1.26959,2025-01-10 12:20:00,1.27259,2025-01-10 12:21:00,1.27259,-40.0,1.0,-0.47,Wednesday,LND,0.0,-4.0,12.333333333333334,9,100434.0,100474.0,4.673624288425048,-1.0775486583496408,2025-01-10 12:01:00,19.0,1,100434.0,104015.0
GBPUSD,SELL,1.21272,1.21013,2025-01-13 11:11:00,1.21242,2025-01-13 11:11:00,1.21272,-400.0,20.0,-0.46,Monday,London,8.56,3.0,11.183333333333334,10,100034.0,100434.0,4.71157495256167,0.9746794344808964,2025-01-10 12:21:00,4250.0,1,100034.0,103615.0
