Date,Symbol,PnL_Saved,Risk_Score,Reason
2025-01-19 13:02:00,GBPUSD,20.0,93.2,"Losing_Streak: 0.10, RR Ratio: 0.10, Revenge_Timer: 0.07"
2025-01-22 09:42:00,GBPUSD,30.0,77.2,"RR Ratio: 0.09, Losing_Streak: 0.09, Drawdown_State: 0.09"
2025-01-23 13:40:00,GBPUSD,27.0,78.6,"Drawdown_State: 0.20, Losing_Streak: -0.16, RR Ratio: 0.13"
2025-01-23 13:49:00,GBPUSD,27.0,87.8,"Revenge_Timer: 0.10, RR Ratio: 0.10, Drawdown_State: 0.10"
2025-01-24 17:46:00,GBPUSD,10.0,75.1,"Drawdown_State: 0.15, RR Ratio: 0.10, Revenge_Timer: -0.05"
2025-01-25 09:55:00,GBPUSD,50.0,81.7,"Losing_Streak: 0.11, Drawdown_State: 0.10, RR Ratio: 0.10"
2025-01-26 09:25:00,GBPUSD,35.0,81.7,"Losing_Streak: 0.11, RR Ratio: 0.10, Drawdown_State: 0.09"
2025-01-26 11:57:00,GBPUSD,-0.0,71.7,"RR Ratio: 0.10, Losing_Streak: 0.10, Revenge_Timer: -0.08"
2025-02-03 09:26:00,EUROUSD,640.0,74.1,"Drawdown_State: 0.18, Losing_Streak: -0.17, RR Ratio: 0.10"
2025-02-03 09:28:00,GBPUSD,240.0,79.6,"RR Ratio: -0.09, Revenge_Timer: 0.08, Losing_Streak: 0.07"
2025-02-03 09:30:00,GBPUSD,-6860.0,71.1,"RR Ratio: -0.11, Revenge_Timer: 0.08, Losing_Streak: 0.06"
2025-02-08 09:57:00,GBPUSD,46.0,70.4,"Losing_Streak: 0.17, RR Ratio: 0.10, Revenge_Timer: -0.07"
2025-02-09 13:30:00,GBPUSD,168.0,78.7,"Losing_Streak: 0.19, RR Ratio: 0.12, Revenge_Timer: -0.06"
2025-02-12 12:20:00,GBPUSD,68.0,74.9,"Losing_Streak: 0.19, RR Ratio: 0.11, Revenge_Timer: -0.07"
2025-02-12 12:20:00,GBPUSD,16.0,92.3,"Losing_Streak: 0.15, RR Ratio: 0.11, Revenge_Timer: 0.10"
2025-02-12 15:33:00,GBPUSD,-382.0,21.9,"RR Ratio: -0.18, Losing_Streak: 0.13, Revenge_Timer: -0.11"
2025-02-28 14:06:00,GBPUSD,46.5,74.6,"Losing_Streak: 0.17, RR Ratio: 0.11, Revenge_Timer: -0.06"
2025-02-28 14:09:00,GBPUSD,25.5,90.4,"Losing_Streak: 0.14, Revenge_Timer: 0.11, RR Ratio: 0.10"
2025-03-06 10:55:00,GBPUSD,580.0,80.3,"Losing_Streak: 0.18, RR Ratio: 0.07, Revenge_Timer: -0.07"
2025-03-06 12:35:00,GBPUSD,600.0,76.5,"Losing_Streak: 0.19, Revenge_Timer: -0.09, RR Ratio: 0.08"
2025-03-11 10:06:00,GBPUSD,420.0,80.9,"Losing_Streak: 0.17, RR Ratio: 0.07, Revenge_Timer: -0.07"
2025-03-12 06:27:00,GBPUSD,540.0,72.9,"Losing_Streak: 0.14, Lot_Deviation: 0.08, Revenge_Timer: -0.06"
2025-03-13 09:31:00,GBPUSD,680.0,83.4,"Losing_Streak: 0.16, RR Ratio: 0.08, Revenge_Timer: -0.06"
2025-03-14 13:21:00,GBPUSD,-754.0,32.4,"RR Ratio: -0.19, Losing_Streak: 0.11, Revenge_Timer: -0.08"
2025-03-18 15:57:00,GBPUSD,48.0,11.8,"Revenge_Timer: -0.14, RR Ratio: -0.10, Lot_Deviation: -0.08"
2025-03-21 09:08:00,GBPUSD,19.34,79.7,"Losing_Streak: 0.14, RR Ratio: 0.11, Revenge_Timer: -0.06"
2025-03-21 10:31:00,GBPUSD,30.0,78.3,"Losing_Streak: 0.15, RR Ratio: 0.12, Revenge_Timer: -0.08"
2025-03-21 12:31:00,GBPUSD,29.0,79.5,"Losing_Streak: 0.16, RR Ratio: 0.12, Revenge_Timer: -0.08"
2025-03-21 12:36:00,GBPUSD,41.0,94.2,"Losing_Streak: 0.13, RR Ratio: 0.10, Revenge_Timer: 0.10"
2025-03-22 13:38:00,GBPUSD,30.0,80.9,"Losing_Streak: 0.15, RR Ratio: 0.12, Revenge_Timer: -0.06"
2025-05-07 09:34:00,GBPUSD,-0.0,25.0,"Losing_Streak: -0.30, Drawdown_State: -0.09, Revenge_Timer: -0.06"
2025-05-10 08:50:00,GBPUSD,2.3,85.5,"Revenge_Timer: 0.16, RR Ratio: 0.06, Losing_Streak: 0.04"
2025-05-10 08:56:00,GBPUSD,-2.2,75.9,"Revenge_Timer: 0.14, RR Ratio: 0.07, Drawdown_State: -0.04"
2025-05-20 09:55:00,GBPUSD,600.0,76.9,"Losing_Streak: 0.15, Revenge_Timer: -0.08, RR Ratio: 0.08"
2025-05-20 13:20:00,GBPUSD,520.0,77.4,"Losing_Streak: 0.18, Revenge_Timer: -0.10, RR Ratio: 0.09"
2025-05-20 13:32:00,GBPUSD,560.0,93.8,"Losing_Streak: 0.14, Revenge_Timer: 0.09, RR Ratio: 0.08"
2025-05-21 08:51:00,GBPUSD,520.0,81.2,"Losing_Streak: 0.18, Revenge_Timer: -0.08, RR Ratio: 0.08"
2025-05-22 11:15:00,GBPUSD,460.0,93.4,"Revenge_Timer: 0.14, RR Ratio: 0.08, Losing_Streak: 0.04"
2025-05-24 10:34:00,GBPUSD,500.0,86.5,"Revenge_Timer: 0.17, RR Ratio: 0.08, Drawdown_State: -0.07"
2025-05-24 11:03:00,GBPUSD,500.0,90.6,"Losing_Streak: 0.14, RR Ratio: 0.09, Revenge_Timer: 0.09"
2025-05-30 11:05:00,GBPUSD,1.6,86.4,"Revenge_Timer: 0.15, RR Ratio: 0.08, Losing_Streak: 0.05"
2025-05-30 15:45:00,GBPUSD,1.2,85.7,"Losing_Streak: 0.15, RR Ratio: 0.11, Revenge_Timer: 0.06"
2025-06-11 10:34:00,GBPUSD,520.0,74.4,"Losing_Streak: 0.16, RR Ratio: 0.10, Revenge_Timer: -0.09"
2025-06-13 14:03:00,EUROUSD,280.0,77.3,"Losing_Streak: 0.16, RR Ratio: 0.10, Revenge_Timer: -0.07"
2025-06-13 17:41:00,GBPUSD,560.0,76.4,"Losing_Streak: 0.19, RR Ratio: 0.11, Revenge_Timer: -0.09"
2025-06-13 18:00:00,GBPUSD,620.0,90.4,"Losing_Streak: 0.17, RR Ratio: 0.11, Revenge_Timer: 0.05"
2025-06-17 09:54:00,GBPUSD,620.0,83.2,"Losing_Streak: 0.15, RR Ratio: 0.10, Revenge_Timer: -0.06"
2025-06-17 09:54:00,GBPUSD,620.0,93.0,"Losing_Streak: 0.13, Revenge_Timer: 0.09, RR Ratio: 0.07"
2025-06-17 10:17:00,GBPUSD,640.0,87.7,"Losing_Streak: 0.15, RR Ratio: 0.11, Revenge_Timer: -0.04"
2025-06-17 10:17:00,GBPUSD,640.0,93.0,"Losing_Streak: 0.13, Revenge_Timer: 0.08, RR Ratio: 0.06"
2025-06-18 13:55:00,GBPUSD,600.0,87.5,"Losing_Streak: 0.12, RR Ratio: 0.09, Drawdown_State: 0.08"
2025-06-18 13:55:00,GBPUSD,600.0,77.8,"Losing_Streak: 0.15, RR Ratio: -0.12, Revenge_Timer: 0.08"
2025-06-18 15:50:00,GBPUSD,640.0,84.7,"Losing_Streak: 0.14, RR Ratio: 0.10, Drawdown_State: 0.08"
